#gene_id	transcript_id	sprot_Top_BLASTX_hit	RNAMMER	prot_id	prot_coords	sprot_Top_BLASTP_hit	Pfam	SignalP	TmHMM	eggnog	Kegg	gene_ontology_BLASTX	gene_ontology_BLASTP	gene_ontology_Pfam	transcript	peptide
TRINITY_DN2052_c0_g1	TRINITY_DN2052_c0_g1_i1	PH1_ARATH^PH1_ARATH^Q:209-18,H:69-132^40.625%ID^E:1.1e-09^RecName: Full=Pleckstrin homology domain-containing protein 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	.	.	.	.	.	.	.	KEGG:ath:AT2G29700	GO:0005777^cellular_component^peroxisome`GO:0032266^molecular_function^phosphatidylinositol-3-phosphate binding	.	.	.	.
TRINITY_DN2077_c0_g1	TRINITY_DN2077_c0_g1_i1	FTSH3_SYNY3^FTSH3_SYNY3^Q:1-120,H:572-611^52.5%ID^E:8.16e-06^RecName: Full=ATP-dependent zinc metalloprotease FtsH 3 {ECO:0000255|HAMAP-Rule:MF_01458};^Bacteria; Cyanobacteria; Synechococcales; Merismopediaceae; Synechocystis; unclassified Synechocystis	.	.	.	.	.	.	.	COG0465^Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)	KEGG:syn:slr1604	GO:0016021^cellular_component^integral component of membrane`GO:0042651^cellular_component^thylakoid membrane`GO:0005524^molecular_function^ATP binding`GO:0004176^molecular_function^ATP-dependent peptidase activity`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008270^molecular_function^zinc ion binding`GO:0030163^biological_process^protein catabolic process`GO:0006508^biological_process^proteolysis	.	.	.	.
TRINITY_DN2034_c0_g1	TRINITY_DN2034_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN2012_c0_g1	TRINITY_DN2012_c0_g1_i1	MED31_DICDI^MED31_DICDI^Q:20-307,H:55-149^53.125%ID^E:2.82e-28^RecName: Full=Putative mediator of RNA polymerase II transcription subunit 31;^Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Dictyostelia; Dictyosteliales; Dictyosteliaceae; Dictyostelium	.	TRINITY_DN2012_c0_g1_i1.p1	2-325[+]	MED31_DICDI^MED31_DICDI^Q:7-102,H:55-149^53.125%ID^E:2.54e-28^RecName: Full=Putative mediator of RNA polymerase II transcription subunit 31;^Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Dictyostelia; Dictyosteliales; Dictyosteliaceae; Dictyostelium	.	.	.	.	KEGG:ddi:DDB_G0285221	GO:0070847^cellular_component^core mediator complex`GO:0016592^cellular_component^mediator complex`GO:0003713^molecular_function^transcription coactivator activity`GO:0006357^biological_process^regulation of transcription by RNA polymerase II	GO:0070847^cellular_component^core mediator complex`GO:0016592^cellular_component^mediator complex`GO:0003713^molecular_function^transcription coactivator activity`GO:0006357^biological_process^regulation of transcription by RNA polymerase II	.	.	.
TRINITY_DN2065_c0_g1	TRINITY_DN2065_c0_g1_i1	RR18_CHAGL^RR18_CHAGL^Q:80-232,H:25-75^43.137%ID^E:1.56e-08^RecName: Full=30S ribosomal protein S18, chloroplastic {ECO:0000255|HAMAP-Rule:MF_00270};^Eukaryota; Viridiplantae; Streptophyta; Coleochaetophyceae; Coleochaetales; Chaetosphaeridiaceae; Chaetosphaeridium	.	.	.	.	.	.	.	.	.	GO:0009507^cellular_component^chloroplast`GO:0005840^cellular_component^ribosome`GO:0019843^molecular_function^rRNA binding`GO:0003735^molecular_function^structural constituent of ribosome`GO:0006412^biological_process^translation	.	.	.	.
TRINITY_DN2009_c0_g1	TRINITY_DN2009_c0_g1_i1	PPT3_ORYSJ^PPT3_ORYSJ^Q:9-353,H:182-293^36.752%ID^E:2.85e-11^RecName: Full=Phosphoenolpyruvate/phosphate translocator 3, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa	.	TRINITY_DN2009_c0_g1_i1.p1	3-377[+]	PPT3_ORYSJ^PPT3_ORYSJ^Q:3-117,H:182-293^36.752%ID^E:2.57e-11^RecName: Full=Phosphoenolpyruvate/phosphate translocator 3, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa	.	.	.	.	KEGG:osa:4327644	GO:0031969^cellular_component^chloroplast membrane`GO:0005794^cellular_component^Golgi apparatus`GO:0016021^cellular_component^integral component of membrane`GO:0015297^molecular_function^antiporter activity`GO:0015121^molecular_function^phosphoenolpyruvate:phosphate antiporter activity`GO:0022857^molecular_function^transmembrane transporter activity`GO:0071917^molecular_function^triose-phosphate transmembrane transporter activity`GO:0008643^biological_process^carbohydrate transport`GO:0015714^biological_process^phosphoenolpyruvate transport`GO:0035436^biological_process^triose phosphate transmembrane transport	GO:0031969^cellular_component^chloroplast membrane`GO:0005794^cellular_component^Golgi apparatus`GO:0016021^cellular_component^integral component of membrane`GO:0015297^molecular_function^antiporter activity`GO:0015121^molecular_function^phosphoenolpyruvate:phosphate antiporter activity`GO:0022857^molecular_function^transmembrane transporter activity`GO:0071917^molecular_function^triose-phosphate transmembrane transporter activity`GO:0008643^biological_process^carbohydrate transport`GO:0015714^biological_process^phosphoenolpyruvate transport`GO:0035436^biological_process^triose phosphate transmembrane transport	.	.	.
TRINITY_DN2072_c0_g1	TRINITY_DN2072_c0_g1_i1	ARMT1_DANRE^ARMT1_DANRE^Q:186-22,H:252-306^54.545%ID^E:3.27e-12^RecName: Full=Damage-control phosphatase ARMT1 {ECO:0000250|UniProtKB:Q04371};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Danionidae; Danioninae; Danio	.	.	.	.	.	.	.	.	KEGG:dre:541518	GO:0046872^molecular_function^metal ion binding`GO:0016791^molecular_function^phosphatase activity`GO:0051998^molecular_function^protein carboxyl O-methyltransferase activity`GO:0008757^molecular_function^S-adenosylmethionine-dependent methyltransferase activity`GO:0032259^biological_process^methylation`GO:2001020^biological_process^regulation of response to DNA damage stimulus	.	.	.	.
TRINITY_DN2086_c0_g1	TRINITY_DN2086_c0_g1_i1	LCSP_PURLI^LCSP_PURLI^Q:246-28,H:163-233^54.795%ID^E:1.88e-20^RecName: Full=Aminotransferase lcsP {ECO:0000303|PubMed:27416025};^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Ophiocordycipitaceae; Purpureocillium	.	.	.	.	.	.	.	.	KEGG:plj:VFPFJ_04702	GO:0004084^molecular_function^branched-chain-amino-acid transaminase activity`GO:0009081^biological_process^branched-chain amino acid metabolic process	.	.	.	.
TRINITY_DN2058_c0_g1	TRINITY_DN2058_c0_g1_i1	CIPKO_ORYSJ^CIPKO_ORYSJ^Q:7-360,H:189-272^36.441%ID^E:4.62e-12^RecName: Full=CBL-interacting protein kinase 24;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa	.	TRINITY_DN2058_c0_g1_i1.p1	1-366[+]	CIPKO_ORYSJ^CIPKO_ORYSJ^Q:3-120,H:189-272^36.441%ID^E:4.16e-12^RecName: Full=CBL-interacting protein kinase 24;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa	.	.	.	.	KEGG:osa:4341477	GO:0005737^cellular_component^cytoplasm`GO:0005634^cellular_component^nucleus`GO:0009705^cellular_component^plant-type vacuole membrane`GO:0005524^molecular_function^ATP binding`GO:0106310^molecular_function^protein serine kinase activity`GO:0004674^molecular_function^protein serine/threonine kinase activity`GO:0106311^molecular_function^protein threonine kinase activity`GO:0035556^biological_process^intracellular signal transduction`GO:0006468^biological_process^protein phosphorylation`GO:0009651^biological_process^response to salt stress	GO:0005737^cellular_component^cytoplasm`GO:0005634^cellular_component^nucleus`GO:0009705^cellular_component^plant-type vacuole membrane`GO:0005524^molecular_function^ATP binding`GO:0106310^molecular_function^protein serine kinase activity`GO:0004674^molecular_function^protein serine/threonine kinase activity`GO:0106311^molecular_function^protein threonine kinase activity`GO:0035556^biological_process^intracellular signal transduction`GO:0006468^biological_process^protein phosphorylation`GO:0009651^biological_process^response to salt stress	.	.	.
TRINITY_DN2005_c0_g1	TRINITY_DN2005_c0_g1_i1	PSAB_TRICV^PSAB_TRICV^Q:215-6,H:182-251^91.429%ID^E:6.83e-38^RecName: Full=Photosystem I P700 chlorophyll a apoprotein A2 {ECO:0000255|HAMAP-Rule:MF_00482};^Eukaryota; Sar; Stramenopiles; Ochrophyta; Bacillariophyta; Mediophyceae; Biddulphiophycidae; Triceratiales; Triceratiaceae; Trieres	.	.	.	.	.	.	.	.	.	GO:0009535^cellular_component^chloroplast thylakoid membrane`GO:0016021^cellular_component^integral component of membrane`GO:0009522^cellular_component^photosystem I`GO:0051539^molecular_function^4 iron, 4 sulfur cluster binding`GO:0016168^molecular_function^chlorophyll binding`GO:0009055^molecular_function^electron transfer activity`GO:0000287^molecular_function^magnesium ion binding`GO:0015979^biological_process^photosynthesis`GO:0018298^biological_process^protein-chromophore linkage	.	.	.	.
TRINITY_DN2018_c0_g1	TRINITY_DN2018_c0_g1_i1	NDKM_DICDI^NDKM_DICDI^Q:2-220,H:57-129^60.274%ID^E:4.69e-27^RecName: Full=Nucleoside diphosphate kinase, mitochondrial;^Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Dictyostelia; Dictyosteliales; Dictyosteliaceae; Dictyostelium	.	.	.	.	.	.	.	.	KEGG:ddi:DDB_G0279911	GO:0031012^cellular_component^extracellular matrix`GO:0005758^cellular_component^mitochondrial intermembrane space`GO:0005739^cellular_component^mitochondrion`GO:0045335^cellular_component^phagocytic vesicle`GO:0005524^molecular_function^ATP binding`GO:0046872^molecular_function^metal ion binding`GO:0004550^molecular_function^nucleoside diphosphate kinase activity`GO:0006241^biological_process^CTP biosynthetic process`GO:0006183^biological_process^GTP biosynthetic process`GO:0009142^biological_process^nucleoside triphosphate biosynthetic process`GO:0009617^biological_process^response to bacterium`GO:0006228^biological_process^UTP biosynthetic process	.	.	.	.
TRINITY_DN2039_c0_g1	TRINITY_DN2039_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN2035_c0_g1	TRINITY_DN2035_c0_g1_i1	PI4K_DICDI^PI4K_DICDI^Q:261-13,H:1035-1115^46.988%ID^E:3.45e-12^RecName: Full=Phosphatidylinositol 4-kinase;^Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Dictyostelia; Dictyosteliales; Dictyosteliaceae; Dictyostelium	.	.	.	.	.	.	.	.	KEGG:ddi:DDB_G0288485	GO:0005737^cellular_component^cytoplasm`GO:0016020^cellular_component^membrane`GO:0004430^molecular_function^1-phosphatidylinositol 4-kinase activity`GO:0005524^molecular_function^ATP binding`GO:0052742^molecular_function^phosphatidylinositol kinase activity`GO:0031152^biological_process^aggregation involved in sorocarp development`GO:0043327^biological_process^chemotaxis to cAMP`GO:0046854^biological_process^phosphatidylinositol phosphorylation`GO:0048015^biological_process^phosphatidylinositol-mediated signaling	.	.	.	.
TRINITY_DN2068_c0_g1	TRINITY_DN2068_c0_g1_i1	ATPB_THAPS^ATPB_THAPS^Q:1218-1,H:33-438^94.335%ID^E:0^RecName: Full=ATP synthase subunit beta, chloroplastic {ECO:0000255|HAMAP-Rule:MF_01347};^Eukaryota; Sar; Stramenopiles; Ochrophyta; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira	.	TRINITY_DN2068_c0_g1_i1.p1	1-1218[-]	ATPB_THAPS^ATPB_THAPS^Q:1-406,H:33-438^94.335%ID^E:0^RecName: Full=ATP synthase subunit beta, chloroplastic {ECO:0000255|HAMAP-Rule:MF_01347};^Eukaryota; Sar; Stramenopiles; Ochrophyta; Bacillariophyta; Coscinodiscophyceae; Thalassiosirophycidae; Thalassiosirales; Thalassiosiraceae; Thalassiosira	.	.	.	.	.	GO:0009535^cellular_component^chloroplast thylakoid membrane`GO:0005753^cellular_component^mitochondrial proton-transporting ATP synthase complex`GO:0045261^cellular_component^proton-transporting ATP synthase complex, catalytic core F(1)`GO:0005524^molecular_function^ATP binding`GO:0046933^molecular_function^proton-transporting ATP synthase activity, rotational mechanism`GO:0046961^molecular_function^proton-transporting ATPase activity, rotational mechanism`GO:0042776^biological_process^mitochondrial ATP synthesis coupled proton transport	GO:0009535^cellular_component^chloroplast thylakoid membrane`GO:0005753^cellular_component^mitochondrial proton-transporting ATP synthase complex`GO:0045261^cellular_component^proton-transporting ATP synthase complex, catalytic core F(1)`GO:0005524^molecular_function^ATP binding`GO:0046933^molecular_function^proton-transporting ATP synthase activity, rotational mechanism`GO:0046961^molecular_function^proton-transporting ATPase activity, rotational mechanism`GO:0042776^biological_process^mitochondrial ATP synthesis coupled proton transport	.	.	.
TRINITY_DN2045_c0_g1	TRINITY_DN2045_c0_g1_i1	RN181_XENLA^RN181_XENLA^Q:176-3,H:79-134^43.548%ID^E:9.79e-07^RecName: Full=E3 ubiquitin-protein ligase RNF181;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus	.	.	.	.	.	.	.	.	KEGG:xla:444028	GO:0046872^molecular_function^metal ion binding`GO:0016740^molecular_function^transferase activity`GO:0016567^biological_process^protein ubiquitination	.	.	.	.
TRINITY_DN2048_c0_g1	TRINITY_DN2048_c0_g1_i1	HID1_MOUSE^HID1_MOUSE^Q:4-204,H:719-785^55.224%ID^E:1.31e-19^RecName: Full=Protein HID1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus	.	.	.	.	.	.	.	.	KEGG:mmu:217310	GO:0005737^cellular_component^cytoplasm`GO:0005881^cellular_component^cytoplasmic microtubule`GO:0005829^cellular_component^cytosol`GO:0090498^cellular_component^extrinsic component of Golgi membrane`GO:0005794^cellular_component^Golgi apparatus`GO:0005797^cellular_component^Golgi medial cisterna`GO:0000138^cellular_component^Golgi trans cisterna`GO:0016020^cellular_component^membrane	.	.	.	.
TRINITY_DN2094_c0_g1	TRINITY_DN2094_c0_g1_i1	PUB51_ARATH^PUB51_ARATH^Q:31-207,H:731-789^52.542%ID^E:2.26e-15^RecName: Full=U-box domain-containing protein 51;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	.	.	.	.	.	.	.	KEGG:ath:AT5G61560	GO:0009507^cellular_component^chloroplast`GO:0005886^cellular_component^plasma membrane`GO:0005524^molecular_function^ATP binding`GO:0004674^molecular_function^protein serine/threonine kinase activity`GO:0004842^molecular_function^ubiquitin-protein transferase activity	.	.	.	.
TRINITY_DN2084_c0_g1	TRINITY_DN2084_c0_g1_i1	PP2A1_NEUCR^PP2A1_NEUCR^Q:1-279,H:209-301^80.645%ID^E:1.18e-53^RecName: Full=Serine/threonine-protein phosphatase PP2A catalytic subunit;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Sordariaceae; Neurospora	.	.	.	.	.	.	.	.	KEGG:ncr:NCU06630	GO:0046872^molecular_function^metal ion binding`GO:0106306^molecular_function^protein serine phosphatase activity`GO:0106307^molecular_function^protein threonine phosphatase activity	.	.	.	.
TRINITY_DN2069_c0_g1	TRINITY_DN2069_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN2038_c0_g1	TRINITY_DN2038_c0_g1_i1	MCCB_DICDI^MCCB_DICDI^Q:208-2,H:520-588^52.174%ID^E:8.37e-21^RecName: Full=Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial;^Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Dictyostelia; Dictyosteliales; Dictyosteliaceae; Dictyostelium	.	.	.	.	.	.	.	.	KEGG:ddi:DDB_G0271960	GO:1905202^cellular_component^methylcrotonoyl-CoA carboxylase complex`GO:0005759^cellular_component^mitochondrial matrix`GO:0005739^cellular_component^mitochondrion`GO:0005524^molecular_function^ATP binding`GO:0004485^molecular_function^methylcrotonoyl-CoA carboxylase activity`GO:0006552^biological_process^leucine catabolic process	.	.	.	.
TRINITY_DN2085_c0_g1	TRINITY_DN2085_c0_g1_i1	Y2038_OCEIH^Y2038_OCEIH^Q:30-206,H:82-140^50.847%ID^E:2.42e-14^RecName: Full=Probable transcriptional regulatory protein OB2038 {ECO:0000255|HAMAP-Rule:MF_00693};^Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus	.	TRINITY_DN2085_c0_g1_i1.p2	3-341[+]	Y1416_GEOUR^Y1416_GEOUR^Q:10-108,H:82-176^46.465%ID^E:2.08e-22^RecName: Full=Probable transcriptional regulatory protein Gura_1416 {ECO:0000255|HAMAP-Rule:MF_00693};^Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter	.	.	.	COG0217^transcriptional regulatory protein	KEGG:gur:Gura_1416	GO:0005737^cellular_component^cytoplasm`GO:0003677^molecular_function^DNA binding`GO:0006355^biological_process^regulation of transcription, DNA-templated	GO:0005737^cellular_component^cytoplasm`GO:0003677^molecular_function^DNA binding`GO:0006355^biological_process^regulation of transcription, DNA-templated	.	.	.
TRINITY_DN2092_c0_g1	TRINITY_DN2092_c0_g1_i1	EXOA_BACSU^EXOA_BACSU^Q:252-4,H:143-223^48.193%ID^E:4.44e-20^RecName: Full=Exodeoxyribonuclease;^Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus	.	.	.	.	.	.	.	COG0708^Exodeoxyribonuclease III	KEGG:bsu:BSU40880	GO:0005737^cellular_component^cytoplasm`GO:0003677^molecular_function^DNA binding`GO:0003906^molecular_function^DNA-(apurinic or apyrimidinic site) endonuclease activity`GO:0008311^molecular_function^double-stranded DNA 3'-5' exodeoxyribonuclease activity`GO:0004519^molecular_function^endonuclease activity`GO:0008853^molecular_function^exodeoxyribonuclease III activity`GO:0046872^molecular_function^metal ion binding`GO:0004528^molecular_function^phosphodiesterase I activity`GO:0006284^biological_process^base-excision repair	.	.	.	.
TRINITY_DN2013_c0_g1	TRINITY_DN2013_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN2055_c0_g1	TRINITY_DN2055_c0_g1_i1	YLMG2_ARATH^YLMG2_ARATH^Q:9-299,H:121-216^47.423%ID^E:3.97e-23^RecName: Full=YlmG homolog protein 2, chloroplastic {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	TRINITY_DN2055_c0_g1_i1.p2	3-299[+]	YLMG2_ARATH^YLMG2_ARATH^Q:3-99,H:121-216^47.423%ID^E:3.57e-23^RecName: Full=YlmG homolog protein 2, chloroplastic {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	.	.	.	KEGG:ath:AT5G21920	GO:0009535^cellular_component^chloroplast thylakoid membrane`GO:0016021^cellular_component^integral component of membrane`GO:0010020^biological_process^chloroplast fission`GO:0090143^biological_process^nucleoid organization	GO:0009535^cellular_component^chloroplast thylakoid membrane`GO:0016021^cellular_component^integral component of membrane`GO:0010020^biological_process^chloroplast fission`GO:0090143^biological_process^nucleoid organization	.	.	.
TRINITY_DN2078_c0_g1	TRINITY_DN2078_c0_g1_i1	ACAC_SCHPO^ACAC_SCHPO^Q:24-203,H:1595-1654^58.333%ID^E:6.75e-20^RecName: Full=Acetyl-CoA carboxylase;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces	.	.	.	.	.	.	.	.	KEGG:spo:SPAC56E4.04c	GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0000329^cellular_component^fungal-type vacuole membrane`GO:0003989^molecular_function^acetyl-CoA carboxylase activity`GO:0005524^molecular_function^ATP binding`GO:0004075^molecular_function^biotin carboxylase activity`GO:0046872^molecular_function^metal ion binding`GO:0006633^biological_process^fatty acid biosynthetic process`GO:2001295^biological_process^malonyl-CoA biosynthetic process	.	.	.	.
TRINITY_DN2021_c0_g1	TRINITY_DN2021_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN2019_c0_g1	TRINITY_DN2019_c0_g1_i1	ODPA3_ARATH^ODPA3_ARATH^Q:382-17,H:91-212^48.361%ID^E:1.67e-30^RecName: Full=Pyruvate dehydrogenase E1 component subunit alpha-3, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	TRINITY_DN2019_c0_g1_i1.p2	2-382[-]	ODPA3_ARATH^ODPA3_ARATH^Q:1-122,H:91-212^48.361%ID^E:1.5e-30^RecName: Full=Pyruvate dehydrogenase E1 component subunit alpha-3, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	.	.	.	KEGG:ath:AT1G01090	GO:0009507^cellular_component^chloroplast`GO:0009941^cellular_component^chloroplast envelope`GO:0009570^cellular_component^chloroplast stroma`GO:0009536^cellular_component^plastid`GO:0004739^molecular_function^pyruvate dehydrogenase (acetyl-transferring) activity`GO:0006086^biological_process^acetyl-CoA biosynthetic process from pyruvate`GO:0006096^biological_process^glycolytic process	GO:0009507^cellular_component^chloroplast`GO:0009941^cellular_component^chloroplast envelope`GO:0009570^cellular_component^chloroplast stroma`GO:0009536^cellular_component^plastid`GO:0004739^molecular_function^pyruvate dehydrogenase (acetyl-transferring) activity`GO:0006086^biological_process^acetyl-CoA biosynthetic process from pyruvate`GO:0006096^biological_process^glycolytic process	.	.	.
TRINITY_DN2046_c0_g1	TRINITY_DN2046_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN2062_c0_g1	TRINITY_DN2062_c0_g1_i1	NAA10_ARATH^NAA10_ARATH^Q:1-297,H:1-98^74.747%ID^E:6.15e-49^RecName: Full=N-terminal acetyltransferase A complex catalytic subunit NAA10 {ECO:0000303|PubMed:25966763};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	TRINITY_DN2062_c0_g1_i1.p1	1-297[+]	NAA10_ARATH^NAA10_ARATH^Q:1-99,H:1-98^74.747%ID^E:5.54e-49^RecName: Full=N-terminal acetyltransferase A complex catalytic subunit NAA10 {ECO:0000303|PubMed:25966763};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	.	.	.	KEGG:ath:AT5G13780	GO:0005829^cellular_component^cytosol`GO:0031415^cellular_component^NatA complex`GO:0009536^cellular_component^plastid`GO:0003729^molecular_function^mRNA binding`GO:0008080^molecular_function^N-acetyltransferase activity`GO:1990190^molecular_function^peptide-glutamate-N-acetyltransferase activity`GO:1990189^molecular_function^peptide-serine-N-acetyltransferase activity`GO:0009793^biological_process^embryo development ending in seed dormancy`GO:0018002^biological_process^N-terminal peptidyl-glutamic acid acetylation`GO:0017198^biological_process^N-terminal peptidyl-serine acetylation`GO:0009414^biological_process^response to water deprivation	GO:0005829^cellular_component^cytosol`GO:0031415^cellular_component^NatA complex`GO:0009536^cellular_component^plastid`GO:0003729^molecular_function^mRNA binding`GO:0008080^molecular_function^N-acetyltransferase activity`GO:1990190^molecular_function^peptide-glutamate-N-acetyltransferase activity`GO:1990189^molecular_function^peptide-serine-N-acetyltransferase activity`GO:0009793^biological_process^embryo development ending in seed dormancy`GO:0018002^biological_process^N-terminal peptidyl-glutamic acid acetylation`GO:0017198^biological_process^N-terminal peptidyl-serine acetylation`GO:0009414^biological_process^response to water deprivation	.	.	.
TRINITY_DN2054_c0_g1	TRINITY_DN2054_c0_g1_i1	TFDP1_HUMAN^TFDP1_HUMAN^Q:266-21,H:160-241^56.098%ID^E:1.48e-25^RecName: Full=Transcription factor Dp-1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo	.	.	.	.	.	.	.	.	KEGG:hsa:7027	GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0005739^cellular_component^mitochondrion`GO:0005654^cellular_component^nucleoplasm`GO:0005634^cellular_component^nucleus`GO:0090575^cellular_component^RNA polymerase II transcription regulator complex`GO:0000987^molecular_function^cis-regulatory region sequence-specific DNA binding`GO:0003700^molecular_function^DNA-binding transcription factor activity`GO:0000981^molecular_function^DNA-binding transcription factor activity, RNA polymerase II-specific`GO:0019904^molecular_function^protein domain specific binding`GO:0008134^molecular_function^transcription factor binding`GO:0043276^biological_process^anoikis`GO:0006977^biological_process^DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest`GO:0008544^biological_process^epidermis development`GO:0070345^biological_process^negative regulation of fat cell proliferation`GO:0070317^biological_process^negative regulation of G0 to G1 transition`GO:0051091^biological_process^positive regulation of DNA-binding transcription factor activity`GO:1900087^biological_process^positive regulation of G1/S transition of mitotic cell cycle`GO:1900740^biological_process^positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway`GO:0045944^biological_process^positive regulation of transcription by RNA polymerase II`GO:2000278^biological_process^regulation of DNA biosynthetic process`GO:0006357^biological_process^regulation of transcription by RNA polymerase II`GO:0000083^biological_process^regulation of transcription involved in G1/S transition of mitotic cell cycle`GO:0006366^biological_process^transcription by RNA polymerase II	.	.	.	.
